home,away,score,year
Арсенал,Ахмат,1 : 3,2019/2020
Арсенал,Тамбов,2 : 1,2019/2020
Арсенал,Крылья Советов,2 : 4,2019/2020
Арсенал,Оренбург,2 : 1,2019/2020
Уфа,Зенит,1 : 0,2019/2020
Уфа,Локомотив М,1 : 1,2019/2020
Уфа,Краснодар,2 : 3,2019/2020
Уфа,ЦСКА,1 : 1,2019/2020
Уфа,Ростов,2 : 0,2019/2020
Уфа,Динамо М,0 : 1,2019/2020
Уфа,Спартак М,1 : 0,2019/2020
Уфа,Арсенал,0 : 0,2019/2020
Уфа,Рубин,0 : 0,2019/2020
Уфа,Урал,1 : 1,2019/2020
Уфа,Сочи,1 : 1,2019/2020
Уфа,Ахмат,0 : 1,2019/2020
Уфа,Тамбов,2 : 1,2019/2020
Уфа,Крылья Советов,2 : 1,2019/2020
Уфа,Оренбург,1 : 2,2019/2020
Рубин,Зенит,1 : 2,2019/2020
Рубин,Локомотив М,0 : 2,2019/2020
Рубин,Краснодар,1 : 0,2019/2020
Рубин,ЦСКА,0 : 1,2019/2020
Рубин,Ростов,0 : 0,2019/2020
Рубин,Динамо М,0 : 1,2019/2020
Рубин,Спартак М,1 : 2,2019/2020
Рубин,Арсенал,1 : 0,2019/2020
Рубин,Уфа,0 : 0,2019/2020
Рубин,Урал,0 : 0,2019/2020
Рубин,Сочи,0 : 3,2019/2020
Рубин,Ахмат,1 : 0,2019/2020
Рубин,Тамбов,2 : 1,2019/2020
Рубин,Крылья Советов,0 : 1,2019/2020
Рубин,Оренбург,1 : 0,2019/2020
Урал,Зенит,1 : 3,2019/2020
Урал,Локомотив М,0 : 1,2019/2020
Урал,Краснодар,2 : 4,2019/2020
Урал,ЦСКА,0 : 3,2019/2020
Урал,Ростов,2 : 2,2019/2020
Урал,Динамо М,2 : 1,2019/2020
Урал,Спартак М,0 : 0,2019/2020
Урал,Арсенал,1 : 3,2019/2020
Урал,Уфа,3 : 2,2019/2020
Урал,Рубин,1 : 2,2019/2020
Урал,Сочи,3 : 1,2019/2020
Урал,Ахмат,3 : 0,2019/2020
Урал,Тамбов,2 : 1,2019/2020
Урал,Крылья Советов,1 : 3,2019/2020
Урал,Оренбург,1 : 2,2019/2020
Сочи,Зенит,0 : 2,2019/2020
Сочи,Локомотив М,0 : 1,2019/2020
Сочи,Краснодар,2 : 0,2019/2020
Сочи,ЦСКА,2 : 3,2019/2020
Сочи,Ростов,10 : 1,2019/2020
Сочи,Динамо М,1 : 1,2019/2020
Сочи,Спартак М,1 : 0,2019/2020
Сочи,Арсенал,1 : 2,2019/2020
Сочи,Уфа,0 : 0,2019/2020
Сочи,Рубин,1 : 1,2019/2020
Сочи,Урал,2 : 0,2019/2020
Сочи,Ахмат,2 : 0,2019/2020
Сочи,Тамбов,1 : 2,2019/2020
Сочи,Крылья Советов,0 : 2,2019/2020
Сочи,Оренбург,5 : 1,2019/2020
Ахмат,Зенит,1 : 1,2019/2020
Ахмат,Локомотив М,0 : 2,2019/2020
Ахмат,Краснодар,1 : 0,2019/2020
Ахмат,ЦСКА,0 : 4,2019/2020
Ахмат,Ростов,1 : 1,2019/2020
Ахмат,Динамо М,2 : 3,2019/2020
Ахмат,Спартак М,1 : 3,2019/2020
Ахмат,Арсенал,1 : 1,2019/2020
Ахмат,Уфа,0 : 1,2019/2020
Ахмат,Рубин,1 : 1,2019/2020
Ахмат,Урал,0 : 0,2019/2020
Ахмат,Сочи,1 : 1,2019/2020
Ахмат,Тамбов,1 : 1,2019/2020
Ахмат,Крылья Советов,1 : 1,2019/2020
Ахмат,Оренбург,2 : 1,2019/2020
Тамбов,Зенит,1 : 2,2019/2020
Тамбов,Локомотив М,2 : 3,2019/2020
Тамбов,Краснодар,0 : 2,2019/2020
Тамбов,ЦСКА,0 : 2,2019/2020
Тамбов,Ростов,2 : 1,2019/2020
Тамбов,Динамо М,0 : 2,2019/2020
Тамбов,Спартак М,2 : 0,2019/2020
Тамбов,Арсенал,0 : 1,2019/2020
Тамбов,Уфа,3 : 0,2019/2020
Тамбов,Рубин,0 : 0,2019/2020
Тамбов,Урал,1 : 2,2019/2020
Тамбов,Сочи,3 : 0,2019/2020
Тамбов,Ахмат,1 : 2,2019/2020
Тамбов,Крылья Советов,3 : 0,2019/2020
Тамбов,Оренбург,3 : 0,2019/2020
Крылья Советов,Зенит,0 : 2,2019/2020
